image_path,x,y,z,thumb,fore,index,ring,little,thumb2,fore2,index2,ring2,little2,keycode,gs1,gs2,sign,label,giroX,giroY,giroZ
Image\A\54.png,-116,85,37,3,0,0,2,0,18,100,100,99,100,0,0,1,0,A,0,0,0
Image\A\55.png,-117,81,45,0,3,2,0,0,21,100,99,100,98,0,0,1,0,A,0,0,0
Image\A\56.png,-113,81,47,2,0,2,0,0,18,97,99,100,100,0,0,1,0,A,0,0,0
Image\A\57.png,-118,87,39,1,3,0,2,0,17,100,100,99,98,0,0,1,0,A,0,0,0
Image\A\58.png,-120,90,42,2,0,0,0,1,16,100,100,99,100,0,0,1,0,A,0,0,0
Image\A\59.png,-119,81,43,1,0,1,1,2,17,100,100,100,99,0,0,1,0,A,0,0,0
Image\A\6.png,-97,68,39,0,2,1,2,2,20,99,100,98,97,0,0,1,0,A,0,0,0
Image\A\60.png,-116,86,44,0,0,0,3,0,17,100,100,99,100,0,0,1,0,A,0,0,0
Image\A\61.png,-120,85,40,0,0,1,1,0,17,100,98,99,100,0,0,1,0,A,0,0,0
Image\A\62.png,-112,91,43,3,1,3,0,0,21,100,98,97,100,0,0,1,0,A,0,0,0
Image\A\63.png,-120,87,43,0,0,1,1,0,15,97,98,100,97,0,0,1,0,A,0,0,0
Image\A\64.png,-115,94,37,0,0,0,0,0,19,98,99,98,100,0,0,1,0,A,0,0,0
Image\A\65.png,-119,92,42,0,0,0,0,3,20,97,97,100,97,0,0,1,0,A,0,0,0
Image\A\66.png,-118,94,40,3,0,2,0,0,15,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\67.png,-114,96,39,2,0,0,0,1,19,100,98,100,100,0,0,1,0,A,0,0,0
Image\A\68.png,-117,89,40,1,0,0,0,2,16,100,99,98,100,0,0,1,0,A,0,0,0
Image\A\69.png,-119,95,42,3,0,0,1,0,19,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\7.png,-100,84,40,0,0,0,0,0,17,97,100,100,100,0,0,1,0,A,0,0,0
Image\A\70.png,-121,86,39,0,3,3,0,3,15,99,100,100,100,0,0,1,0,A,0,0,0
Image\A\71.png,-115,88,34,0,3,2,0,0,15,98,99,100,100,0,0,1,0,A,0,0,0
Image\A\72.png,-119,92,34,0,0,0,2,0,18,99,100,99,100,0,0,1,0,A,0,0,0
Image\A\73.png,-122,95,35,0,2,0,1,0,16,97,100,97,100,0,0,1,0,A,0,0,0
Image\A\74.png,-117,91,38,0,2,0,0,0,21,99,99,100,100,0,0,1,0,A,0,0,0
Image\A\75.png,-118,95,32,0,0,0,0,0,16,100,97,98,100,0,0,1,0,A,0,0,0
Image\A\76.png,-113,93,39,2,0,0,2,0,19,98,97,100,100,0,0,1,0,A,0,0,0
Image\A\77.png,-117,95,39,0,2,0,0,0,20,100,100,100,97,0,0,1,0,A,0,0,0
Image\A\78.png,-109,90,30,3,0,1,2,0,16,100,100,97,100,0,0,1,0,A,0,0,0
Image\A\79.png,-113,93,37,1,0,1,1,1,17,100,100,100,98,0,0,1,0,A,0,0,0
Image\A\8.png,-105,91,49,0,0,0,0,3,16,100,100,100,98,0,0,1,0,A,0,0,0
Image\A\80.png,-108,96,43,2,0,1,2,1,19,97,100,98,100,0,0,1,0,A,0,0,0
Image\A\81.png,-113,98,38,1,0,3,0,0,15,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\82.png,-118,93,47,1,0,0,0,3,21,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\83.png,-108,95,47,1,0,2,2,0,21,97,100,100,100,0,0,1,0,A,0,0,0
Image\A\84.png,-117,100,39,3,0,0,0,0,20,100,100,100,98,0,0,1,0,A,0,0,0
Image\A\85.png,-118,95,41,2,2,0,2,2,17,100,100,98,100,0,0,1,0,A,0,0,0
Image\A\86.png,-109,100,41,2,0,0,0,0,17,98,99,100,100,0,0,1,0,A,0,0,0
Image\A\87.png,-117,90,41,1,1,2,0,3,15,100,99,100,98,0,0,1,0,A,0,0,0
Image\A\88.png,-117,93,38,3,0,0,2,0,17,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\89.png,-125,98,40,2,0,1,0,2,21,100,98,100,98,0,0,1,0,A,0,0,0
Image\A\9.png,-106,102,50,2,0,0,0,0,17,100,100,100,98,0,0,1,0,A,0,0,0
Image\A\90.png,-125,85,45,0,3,0,1,0,15,99,97,98,98,0,0,1,0,A,0,0,0
Image\A\91.png,-120,93,48,0,1,2,1,0,21,100,99,100,98,0,0,1,0,A,0,0,0
Image\A\92.png,-128,86,48,0,0,3,1,0,17,97,97,100,100,0,0,1,0,A,0,0,0
Image\A\93.png,-122,94,43,0,0,1,0,1,20,97,100,100,99,0,0,1,0,A,0,0,0
Image\A\94.png,-126,86,44,3,3,0,0,0,21,98,100,99,98,0,0,1,0,A,0,0,0
Image\A\95.png,-121,95,47,2,0,0,0,0,19,100,100,97,97,0,0,1,0,A,0,0,0
Image\A\96.png,-127,86,50,0,0,2,0,0,16,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\97.png,-122,86,45,0,0,0,1,0,20,98,98,99,100,0,0,1,0,A,0,0,0
Image\A\98.png,-118,92,50,0,0,0,3,0,21,100,98,100,98,0,0,1,0,A,0,0,0
Image\A\99.png,-119,90,44,3,0,1,2,1,16,100,98,99,97,0,0,1,0,A,0,0,0
Image\B\0.png,-49,65,39,49,0,0,2,3,2,0,2,3,0,0,1,0,0,B,90,0,180
Image\B\1.png,-40,70,38,48,3,0,3,0,0,1,0,0,3,0,1,0,0,B,90,0,180
Image\B\10.png,-49,95,30,49,0,0,0,0,1,2,1,2,0,0,1,0,0,B,90,0,180
Image\B\100.png,-43,92,34,50,3,0,0,1,1,2,0,0,0,0,1,0,0,B,90,0,180
Image\B\11.png,-42,104,30,47,3,2,1,2,1,0,3,0,0,0,1,0,0,B,90,0,180
Image\B\12.png,-48,100,38,47,1,1,3,0,0,3,0,0,3,0,1,0,0,B,90,0,180
Image\B\13.png,-49,81,35,50,0,1,0,2,0,0,0,2,1,0,1,0,0,B,90,0,180
Image\B\14.png,-48,78,30,45,0,0,0,0,0,0,1,0,2,0,1,0,0,B,90,0,180
Image\B\15.png,-43,69,47,48,0,1,0,0,1,2,0,0,2,0,1,0,0,B,90,0,180
Image\B\16.png,-36,71,60,50,0,0,0,0,0,3,0,1,2,0,1,0,0,B,90,0,180
Image\B\17.png,-45,87,52,45,0,0,0,3,3,0,3,0,2,0,1,0,0,B,90,0,180
Image\B\18.png,-45,88,57,45,0,0,0,3,0,3,0,2,0,0,1,0,0,B,90,0,180
Image\B\19.png,-43,96,58,50,1,2,0,0,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\2.png,-38,73,53,47,0,3,0,0,0,0,1,0,2,0,1,0,0,B,90,0,180
Image\B\20.png,-47,93,68,44,1,0,0,3,3,0,3,2,1,0,1,0,0,B,90,0,180
Image\B\21.png,-59,84,71,45,2,2,0,1,3,0,0,1,3,0,1,0,0,B,90,0,180
Image\B\22.png,-43,88,54,44,2,0,0,0,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\23.png,-36,101,56,50,0,1,0,3,0,0,1,0,0,0,1,0,0,B,90,0,180
Image\B\24.png,-45,103,56,50,0,0,3,0,3,0,3,2,0,0,1,0,0,B,90,0,180
Image\B\25.png,-32,96,54,50,0,0,0,0,0,0,0,0,1,0,1,0,0,B,90,0,180
Image\B\26.png,-32,91,60,49,2,3,3,0,1,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\27.png,-40,87,61,49,0,0,2,1,0,0,3,0,1,0,1,0,0,B,90,0,180
Image\B\28.png,-24,89,38,45,0,2,1,1,0,2,1,3,0,0,1,0,0,B,90,0,180
Image\B\29.png,-25,82,35,45,3,0,0,0,0,0,0,3,0,0,1,0,0,B,90,0,180
Image\B\3.png,-29,67,54,45,2,0,2,0,2,0,1,0,1,0,1,0,0,B,90,0,180
Image\B\30.png,-29,72,33,43,0,0,0,0,3,1,3,3,0,0,1,0,0,B,90,0,180
Image\B\31.png,-29,81,37,49,2,0,0,3,1,1,2,2,3,0,1,0,0,B,90,0,180
Image\B\32.png,-29,95,35,45,3,1,2,0,0,2,2,0,0,0,1,0,0,B,90,0,180
Image\B\33.png,-29,103,34,44,0,0,0,2,2,0,2,1,3,0,1,0,0,B,90,0,180
Image\B\34.png,-41,84,50,45,3,0,0,0,1,1,0,0,0,0,1,0,0,B,90,0,180
Image\B\35.png,-32,91,57,46,2,3,0,0,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\36.png,-51,87,65,50,0,0,3,0,3,0,2,1,2,0,1,0,0,B,90,0,180
Image\B\37.png,-45,93,59,48,0,2,2,3,0,0,3,0,0,0,1,0,0,B,90,0,180
Image\B\38.png,-49,84,56,50,0,0,3,0,0,0,2,1,0,0,1,0,0,B,90,0,180
Image\B\39.png,-48,83,54,49,0,2,2,2,0,0,3,0,0,0,1,0,0,B,90,0,180
Image\B\4.png,-26,77,43,51,1,0,0,2,2,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\40.png,-44,82,65,45,0,1,3,0,0,3,3,0,0,0,1,0,0,B,90,0,180
Image\B\41.png,-48,86,66,46,0,0,0,2,3,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\42.png,-42,86,71,49,0,2,0,0,3,1,0,0,1,0,1,0,0,B,90,0,180
Image\B\43.png,-45,80,71,50,1,3,3,1,0,0,2,1,3,0,1,0,0,B,90,0,180
Image\B\44.png,-42,84,65,50,3,0,0,0,3,0,0,2,2,0,1,0,0,B,90,0,180
Image\B\45.png,-44,85,69,50,0,0,0,3,0,0,2,0,0,0,1,0,0,B,90,0,180
Image\B\46.png,-39,82,70,49,3,2,1,0,0,0,1,0,2,0,1,0,0,B,90,0,180
Image\B\47.png,-47,87,65,50,0,0,0,0,1,1,0,0,0,0,1,0,0,B,90,0,180
Image\B\48.png,-47,81,75,46,0,0,1,0,2,2,2,0,0,0,1,0,0,B,90,0,180
Image\B\49.png,-43,86,70,47,2,1,1,3,0,3,0,0,0,0,1,0,0,B,90,0,180
Image\B\5.png,-14,84,56,47,0,2,0,0,0,2,3,2,0,0,1,0,0,B,90,0,180
Image\B\50.png,-45,82,55,50,0,1,2,0,2,1,2,3,0,0,1,0,0,B,90,0,180
Image\B\51.png,-41,89,64,45,2,3,0,0,0,0,3,0,0,0,1,0,0,B,90,0,180
Image\B\52.png,-36,85,61,50,0,0,0,0,2,2,0,3,3,0,1,0,0,B,90,0,180
Image\B\53.png,-37,84,57,51,1,1,0,2,0,0,0,2,0,0,1,0,0,B,90,0,180
Image\B\54.png,-34,84,62,48,2,0,2,0,1,0,0,3,0,0,1,0,0,B,90,0,180
Image\B\55.png,-41,86,62,49,1,2,0,3,0,2,0,0,0,0,1,0,0,B,90,0,180
Image\B\56.png,-39,82,63,47,0,0,0,3,2,0,3,2,0,0,1,0,0,B,90,0,180
Image\B\57.png,-34,82,62,49,0,2,0,0,1,2,0,2,1,0,1,0,0,B,90,0,180
Image\B\58.png,-35,86,56,47,0,0,0,2,2,0,0,2,0,0,1,0,0,B,90,0,180
Image\B\59.png,-33,84,60,47,1,0,2,1,0,1,0,3,0,0,1,0,0,B,90,0,180
Image\B\6.png,-33,87,62,49,0,0,0,0,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\60.png,-39,84,55,45,0,1,0,0,3,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\61.png,-36,87,57,48,0,0,0,0,0,2,3,0,0,0,1,0,0,B,90,0,180
Image\B\62.png,-36,87,63,47,1,1,3,0,3,2,0,0,0,0,1,0,0,B,90,0,180
Image\B\63.png,-36,87,56,49,0,0,0,0,0,0,2,0,1,0,1,0,0,B,90,0,180
Image\B\64.png,-33,83,60,49,0,0,3,1,1,2,0,0,2,0,1,0,0,B,90,0,180
Image\B\65.png,-35,82,61,50,2,3,0,1,3,0,3,1,0,0,1,0,0,B,90,0,180
Image\B\66.png,-32,82,57,47,0,0,0,0,0,2,0,1,1,0,1,0,0,B,90,0,180
Image\B\67.png,-41,87,64,45,0,3,2,0,1,3,2,3,0,0,1,0,0,B,90,0,180
Image\B\68.png,-34,85,62,48,3,3,3,1,1,2,1,0,2,0,1,0,0,B,90,0,180
Image\B\69.png,-33,90,64,45,3,0,2,0,0,0,1,0,3,0,1,0,0,B,90,0,180
Image\B\7.png,-26,81,57,48,2,0,3,0,0,3,0,0,0,0,1,0,0,B,90,0,180
Image\B\70.png,-41,88,67,51,0,2,1,0,3,3,0,0,0,0,1,0,0,B,90,0,180
Image\B\71.png,-37,84,67,45,3,0,3,3,2,0,2,1,3,0,1,0,0,B,90,0,180
Image\B\72.png,-34,86,60,48,0,1,1,2,3,2,0,2,1,0,1,0,0,B,90,0,180
Image\B\73.png,-34,79,60,47,0,0,0,3,0,3,3,0,0,0,1,0,0,B,90,0,180
Image\B\74.png,-42,88,60,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\75.png,-34,82,67,50,1,0,0,0,3,0,1,0,3,0,1,0,0,B,90,0,180
Image\B\76.png,-41,88,61,48,3,0,1,1,2,2,0,0,3,0,1,0,0,B,90,0,180
Image\B\77.png,-44,79,70,49,0,1,2,0,0,0,3,2,0,0,1,0,0,B,90,0,180
Image\B\78.png,-37,81,69,50,1,1,2,1,2,0,0,0,3,0,1,0,0,B,90,0,180
Image\B\79.png,-39,79,69,47,0,0,0,2,0,0,0,3,0,0,1,0,0,B,90,0,180
Image\B\8.png,-19,84,31,50,2,0,3,2,3,1,0,0,0,0,1,0,0,B,90,0,180
Image\B\80.png,-33,82,54,46,0,0,3,0,0,1,0,0,2,0,1,0,0,B,90,0,180
Image\B\81.png,-41,83,58,47,2,1,0,2,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\82.png,-37,85,56,50,0,2,0,3,0,0,0,3,1,0,1,0,0,B,90,0,180
Image\B\83.png,-34,84,50,50,1,1,0,0,0,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\84.png,-39,88,55,50,0,0,0,3,2,0,2,3,0,0,1,0,0,B,90,0,180
Image\B\85.png,-33,84,55,47,0,0,0,0,0,2,0,0,0,0,1,0,0,B,90,0,180
Image\B\86.png,-34,93,55,50,0,0,0,0,0,1,2,0,0,0,1,0,0,B,90,0,180
Image\B\87.png,-40,91,54,47,1,1,0,0,1,0,0,2,1,0,1,0,0,B,90,0,180
Image\B\88.png,-37,94,50,46,3,0,0,2,3,3,0,0,0,0,1,0,0,B,90,0,180
Image\B\89.png,-42,94,51,51,3,3,2,0,0,2,0,0,3,0,1,0,0,B,90,0,180
Image\B\9.png,-32,94,56,47,0,3,1,2,3,1,3,0,0,0,1,0,0,B,90,0,180
Image\B\90.png,-39,88,49,49,2,1,3,0,2,0,2,2,1,0,1,0,0,B,90,0,180
Image\B\91.png,-38,91,51,45,2,2,0,1,1,0,3,0,0,0,1,0,0,B,90,0,180
Image\B\92.png,-36,94,58,51,0,0,0,0,2,0,0,0,0,0,1,0,0,B,90,0,180
Image\B\93.png,-37,93,59,47,0,0,0,1,3,0,0,1,0,0,1,0,0,B,90,0,180
Image\B\94.png,-39,88,59,47,3,0,0,0,0,3,2,0,1,0,1,0,0,B,90,0,180
Image\B\95.png,-41,89,50,48,0,0,0,0,0,1,0,0,0,0,1,0,0,B,90,0,180
Image\B\96.png,-41,93,56,51,0,0,0,1,0,2,3,0,1,0,1,0,0,B,90,0,180
Image\B\97.png,-39,84,53,48,0,0,0,0,0,0,0,3,0,0,1,0,0,B,90,0,180
Image\B\98.png,-40,84,50,51,0,0,3,0,0,3,2,3,3,0,1,0,0,B,90,0,180
Image\B\99.png,-32,84,49,45,0,0,2,0,0,2,0,2,0,0,1,0,0,B,90,0,180
Image\C\0.png,-36,85,60,11,38,37,33,34,1,0,2,0,0,0,1,0,0,C,0,0,90
Image\C\1.png,-34,97,57,9,40,35,31,36,1,1,1,1,0,0,1,0,0,C,0,0,90
Image\C\10.png,-53,96,66,13,40,38,35,36,0,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\100.png,-28,92,74,13,39,35,34,32,1,1,3,0,0,0,1,0,0,C,0,0,90
Image\C\11.png,-39,94,79,11,38,32,33,38,0,3,2,0,0,0,1,0,0,C,0,0,90
Image\C\12.png,-43,86,71,11,35,33,31,33,3,0,3,0,0,0,1,0,0,C,0,0,90
Image\C\13.png,-21,77,74,12,39,37,35,33,0,3,0,2,0,0,1,0,0,C,0,0,90
Image\C\14.png,-19,72,72,15,34,35,32,37,0,2,0,0,0,0,1,0,0,C,0,0,90
Image\C\15.png,-29,78,71,11,37,36,32,37,0,1,0,0,1,0,1,0,0,C,0,0,90
Image\C\16.png,-32,79,74,10,35,35,34,32,3,0,1,3,1,0,1,0,0,C,0,0,90
Image\C\17.png,-23,88,75,13,40,32,30,38,0,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\18.png,-30,86,69,10,37,33,36,36,0,3,3,0,0,0,1,0,0,C,0,0,90
Image\C\19.png,-43,82,78,8,37,36,34,33,0,3,0,0,2,0,1,0,0,C,0,0,90
Image\C\2.png,-42,95,81,14,40,36,35,35,1,1,0,1,0,0,1,0,0,C,0,0,90
Image\C\20.png,-34,86,82,13,39,37,32,34,0,0,0,1,0,0,1,0,0,C,0,0,90
Image\C\21.png,-30,95,75,12,35,36,36,33,0,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\22.png,-23,83,80,11,37,36,36,37,1,0,0,1,0,0,1,0,0,C,0,0,90
Image\C\23.png,-31,87,76,13,40,37,32,35,0,0,2,1,0,0,1,0,0,C,0,0,90
Image\C\24.png,-24,89,85,12,36,36,30,37,0,0,0,2,0,0,1,0,0,C,0,0,90
Image\C\25.png,-28,90,72,11,38,36,33,32,2,2,0,1,0,0,1,0,0,C,0,0,90
Image\C\26.png,-30,88,79,9,36,37,31,37,0,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\27.png,-27,87,79,12,39,35,33,36,2,0,3,0,0,0,1,0,0,C,0,0,90
Image\C\28.png,-31,92,78,11,40,35,35,34,1,2,0,1,2,0,1,0,0,C,0,0,90
Image\C\29.png,-24,84,81,12,35,34,34,32,0,1,3,0,0,0,1,0,0,C,0,0,90
Image\C\3.png,-40,92,79,9,40,37,36,35,3,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\30.png,-20,91,75,9,39,38,33,38,0,0,0,0,1,0,1,0,0,C,0,0,90
Image\C\31.png,-26,92,80,11,40,34,31,36,0,2,0,1,3,0,1,0,0,C,0,0,90
Image\C\32.png,-24,83,79,11,40,36,31,32,0,0,1,0,0,0,1,0,0,C,0,0,90
Image\C\33.png,-28,93,71,8,34,34,36,35,2,1,0,0,0,0,1,0,0,C,0,0,90
Image\C\34.png,-30,87,80,9,38,34,34,34,0,0,0,1,0,0,1,0,0,C,0,0,90
Image\C\35.png,-29,83,73,11,38,33,36,32,0,0,0,3,0,0,1,0,0,C,0,0,90
Image\C\36.png,-29,85,72,9,34,37,34,38,3,2,0,3,0,0,1,0,0,C,0,0,90
Image\C\37.png,-29,91,81,10,35,38,34,35,0,3,0,2,0,0,1,0,0,C,0,0,90
Image\C\38.png,-23,86,75,10,34,34,34,32,3,3,1,3,0,0,1,0,0,C,0,0,90
Image\C\39.png,-26,87,81,9,35,35,33,38,0,3,0,0,0,0,1,0,0,C,0,0,90
Image\C\4.png,-24,89,75,8,38,32,36,33,0,0,1,0,0,0,1,0,0,C,0,0,90
Image\C\40.png,-24,90,75,14,38,33,35,38,0,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\41.png,-26,87,72,8,37,36,36,38,1,0,3,3,3,0,1,0,0,C,0,0,90
Image\C\42.png,-20,93,77,10,38,37,34,32,1,0,0,3,0,0,1,0,0,C,0,0,90
Image\C\43.png,-26,93,71,13,38,33,34,33,0,0,0,1,0,0,1,0,0,C,0,0,90
Image\C\44.png,-20,93,72,13,36,34,36,33,1,0,0,2,1,0,1,0,0,C,0,0,90
Image\C\45.png,-21,85,72,14,39,33,31,32,0,0,0,1,0,0,1,0,0,C,0,0,90
Image\C\46.png,-27,86,79,8,34,32,30,36,0,0,0,0,3,0,1,0,0,C,0,0,90
Image\C\47.png,-25,84,79,10,35,33,30,34,1,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\48.png,-30,89,80,13,34,36,33,33,2,2,0,1,0,0,1,0,0,C,0,0,90
Image\C\49.png,-23,93,74,9,34,37,32,35,2,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\5.png,-32,76,71,9,38,38,30,36,2,0,0,1,0,0,1,0,0,C,0,0,90
Image\C\50.png,-32,87,75,9,34,38,35,33,0,1,0,0,0,0,1,0,0,C,0,0,90
Image\C\51.png,-28,92,77,14,40,35,30,38,0,0,2,2,3,0,1,0,0,C,0,0,90
Image\C\52.png,-33,89,78,10,37,32,32,38,0,0,1,0,0,0,1,0,0,C,0,0,90
Image\C\53.png,-25,93,74,14,39,33,32,37,3,0,0,0,1,0,1,0,0,C,0,0,90
Image\C\54.png,-29,92,75,10,39,32,35,33,0,0,1,0,0,0,1,0,0,C,0,0,90
Image\C\55.png,-24,84,77,12,34,37,34,36,0,3,0,0,3,0,1,0,0,C,0,0,90
Image\C\56.png,-31,86,78,14,39,32,32,38,0,0,0,0,2,0,1,0,0,C,0,0,90
Image\C\57.png,-29,87,71,10,37,32,30,35,0,1,0,0,0,0,1,0,0,C,0,0,90
Image\C\58.png,-25,94,78,12,34,37,34,34,2,3,2,1,3,0,1,0,0,C,0,0,90
Image\C\59.png,-31,86,76,10,34,37,36,33,3,0,2,0,3,0,1,0,0,C,0,0,90
Image\C\6.png,-18,80,81,12,34,33,35,33,1,1,3,0,3,0,1,0,0,C,0,0,90
Image\C\60.png,-24,84,88,13,40,34,36,32,0,0,1,0,0,0,1,0,0,C,0,0,90
Image\C\61.png,-31,87,84,10,36,35,35,33,0,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\62.png,-31,93,82,8,34,32,34,33,3,0,0,0,3,0,1,0,0,C,0,0,90
Image\C\63.png,-27,89,79,8,36,34,31,35,0,2,2,3,2,0,1,0,0,C,0,0,90
Image\C\64.png,-24,94,86,12,35,38,36,35,3,0,0,0,0,0,1,0,0,C,0,0,90
Image\C\65.png,-21,85,82,13,35,33,31,38,2,0,0,0,0,0,1,0,0,C,0,0,90
