image_path,x,y,z,thumb,fore,index,ring,little,thumb2,fore2,index2,ring2,little2,keycode,gs1,gs2,sign,label
Image\A\60.png,-117,89,40,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\61.png,-117,89,40,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\62.png,-117,89,40,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\63.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\64.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\65.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\66.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\67.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\68.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\69.png,-117,91,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\7.png,-98,81,39,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\70.png,-117,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\71.png,-117,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\72.png,-117,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\73.png,-117,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\74.png,-117,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\75.png,-114,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\76.png,-114,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\77.png,-114,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\78.png,-114,91,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\79.png,-114,95,35,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\8.png,-102,95,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\80.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\81.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\82.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\83.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\84.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\85.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\86.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\87.png,-113,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\88.png,-120,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\89.png,-120,95,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\9.png,-107,100,52,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\90.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\91.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\92.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\93.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\94.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\95.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\96.png,-124,90,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\97.png,-120,90,48,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\98.png,-120,90,48,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\99.png,-120,90,48,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\B\0.png,-44,68,39,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\1.png,-44,71,33,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\10.png,-44,100,33,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\100.png,-44,87,33,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\11.png,-44,100,33,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\12.png,-47,97,33,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\13.png,-45,83,33,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\14.png,-43,73,35,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\15.png,-39,68,45,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\16.png,-39,76,56,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\17.png,-48,85,56,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\18.png,-48,90,56,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\19.png,-48,95,56,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\2.png,-33,68,56,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\20.png,-45,88,66,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\21.png,-62,88,66,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\22.png,-39,89,58,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\23.png,-36,99,58,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\24.png,-40,100,58,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\25.png,-32,97,58,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\26.png,-29,88,58,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\27.png,-39,85,58,47,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\28.png,-28,85,40,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\29.png,-28,80,32,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\3.png,-28,72,50,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\30.png,-28,73,33,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\31.png,-28,86,33,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\32.png,-32,97,33,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\33.png,-29,100,33,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\34.png,-36,89,49,46,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\35.png,-36,89,60,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\36.png,-47,91,62,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\37.png,-47,90,55,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\38.png,-47,84,55,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\39.png,-47,81,55,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\4.png,-28,73,48,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\40.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\41.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\42.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\43.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\44.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\45.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\46.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\47.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\48.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\49.png,-43,82,70,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\5.png,-19,79,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\50.png,-41,84,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\51.png,-36,84,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\52.png,-40,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\53.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\54.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\55.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\56.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\57.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\58.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\59.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\6.png,-37,83,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\60.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\61.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\62.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\63.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\64.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\65.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\66.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\67.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\68.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\69.png,-37,86,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\7.png,-23,80,59,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\70.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\71.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\72.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\73.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\74.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\75.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\76.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\77.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\78.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\79.png,-39,84,65,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\8.png,-23,89,34,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\80.png,-37,86,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\81.png,-37,86,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\82.png,-37,86,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\83.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\84.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\85.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\86.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\87.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\88.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\89.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\9.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\90.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\91.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\92.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\93.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\94.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\95.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\96.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\97.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\98.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\B\99.png,-37,89,54,48,0,0,0,0,0,0,0,0,0,0,1,0,0,B
Image\C\0.png,-37,82,62,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\1.png,-37,95,62,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\10.png,-51,100,62,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\100.png,-28,87,76,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\11.png,-39,92,76,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\12.png,-39,86,76,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\13.png,-26,76,76,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\14.png,-17,73,76,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\15.png,-26,83,76,12,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\16.png,-32,81,73,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\17.png,-19,86,73,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\18.png,-30,86,73,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\19.png,-39,86,73,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\2.png,-44,97,80,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\20.png,-33,88,80,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\21.png,-26,90,80,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\22.png,-26,85,80,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\23.png,-26,85,80,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\24.png,-26,89,80,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\25.png,-26,86,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\26.png,-26,86,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\27.png,-26,87,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\28.png,-26,87,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\29.png,-26,87,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\3.png,-44,87,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\30.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\31.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\32.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\33.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\34.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\35.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\36.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\37.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\38.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\39.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\4.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\40.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\41.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\42.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\43.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\44.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\45.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\46.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\47.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\48.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\49.png,-25,88,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\5.png,-37,75,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\50.png,-30,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\51.png,-30,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\52.png,-30,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\53.png,-30,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\54.png,-29,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\55.png,-29,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\56.png,-29,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\57.png,-29,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\58.png,-29,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\59.png,-29,89,76,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\6.png,-14,78,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\60.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\61.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\62.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\63.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\64.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\65.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\66.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\67.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\68.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\69.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\7.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\70.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\71.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\72.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\73.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\74.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\75.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\76.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\77.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\78.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\79.png,-26,89,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\8.png,-26,100,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\80.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\81.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\82.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\83.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\84.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\85.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\86.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\87.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\88.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\89.png,-30,87,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\9.png,-39,100,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\90.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\91.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\92.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\93.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\94.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\95.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\96.png,-25,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
Image\C\97.png,-21,90,84,11,37,35,33,35,0,0,0,0,0,0,1,0,0,C
